,İLAN ADI,MAHALLE,FİYAT,NET(m²),BRÜT(m²),ODA-SALON SAYISI,ODA SAYISI,SALON SAYISI,BANYO SAYISI,FOTOĞRAF SAYISI,BİNA KAT SAYISI,BULUNDUĞU KAT,YAPI DURUMU,ISITMA,BİNA YAŞI,AİDAT,KİRA GETİRİSİ
110,Yankı'dan Koşuyolu Medipol Hast.Komşu 3+1 Satılık 130 m2 Daire,Koşuyolu,4.250.000,110,130,3+1,3,1,1,31,4,2,İkinci El,Merkezi Sistem,26-30 arası,300,12.000
111,Fikirtepe Torkam Projesin de Ebeveyn Banyolu Satılık 2+1 Daire,Dumlupınar,4.500.000,80,117,2+1,2,1,2,29,20 ve üzeri,3,,Merkezi Sistem (Isı Payı Ölçer),0,500,0
112,Fikirtepe Kiptaş Torkam Projesin de Satılık 2+1 Daire,Dumlupınar,4.800.000,80,117,2+1,2,1,2,31,20 ve üzeri,13,,Merkezi Sistem (Isı Payı Ölçer),0,500,0
113,Fikirtepe Kiptaş Torkam projesin de Satılık 2+1 daire,Dumlupınar,4.500.000,80,117,2+1,2,1,2,31,20 ve üzeri,5,,Merkezi Sistem (Isı Payı Ölçer),0,500,0
114,KOZYATAĞI CENTRAL HOSPİTAL YAKIN 5.KAT İSKANLI 110m2 SATILIK 3+1,Kozyatağı,5.500.000,90,110,3+1,3,1,1,31,8,5,İkinci El,Merkezi Sistem,31-35 arası,950,3.000
115,FENERYOLUNDA PARKA YAKIN SIFIRLANMIŞ 125 M2 BALKONLU,Feneryolu,6.450.000,125,150,3+1,3,1,1,27,9,4,Sıfır,Merkezi Sistem (Isı Payı Ölçer),26-30 arası,0,0
116,"2+1SATILIK DAIRE, KOZYATAĞI'NIN SAKIN VE NEZIH BÖLGESINDE",Kozyatağı,5.400.000,80,100,2+1,2,1,1,43,10-20 arası,11,,Klima,6-10 arası,200,0
117,Bağdat Caddesi'ne yürüme mesafesinde sıfır binada 3+1 satılık,Göztepe,7.250.000,80,95,3+1,3,1,2,47,7,7,,Kombi (Doğalgaz),0,500,0
118,CENTURY21.SAHRA'DAN AYŞEKADIN'DA 4 YILLIK 3+1 HAVUZLU İÇİ YAPILI,Kozyatağı,7.395.000,100,135,3+1,3,1,2,24,10-20 arası,12,,Klima,4,0,0
119,CADDEBOSTAN'DA MÜKEMMEL 5+2 GENİŞ M2 GÜNEY CEPHE DUBLEKS DAİRE,Caddebostan,22.240.000,250,330,5+2,5,2,3,26,10-20 arası,12,,Klima,0,0,0
120,BAĞDAT CADDESİNE İKİNCİ BİNADA MERKEZİ KONUMLU 3+1 EŞYASZ SATILK,Fenerbahçe,14.300.000,145,180,3+1,3,1,3,31,4,4,,Merkezi Sistem,16-20 arası,600,0
121,OZZ TEAM' DEN FENERYOLUNDA ADA MUTFAKLI 3+1 DAİRE,Feneryolu,6.700.000,85,110,,,,,20,8,4,,Klima,4,120,0
122,Fikirtepe Alyalife Projesinde Satılık Geniş Balkonlu geniş 3+1,Fikirtepe,8.500.000,140,220,3+1,3,1,2,31,20 ve üzeri,6,,Klima,4,0,0
123,Fikirtepe Şua'da Ebeveyn Banyolu Kapalı Mutfak 92 m2 net Boş,Fikirtepe,6.400.000,92,127,2+1,2,1,2,31,20 ve üzeri,12,,Merkezi Sistem (Isı Payı Ölçer),3,0,0
124,Fikirtepe Şua'da Hiç Kullanılmamış Net 92 m2 Kapalı Mutfak Boş,Fikirtepe,6.550.000,92,137,2+1,2,1,2,31,20 ve üzeri,14,,Merkezi Sistem (Isı Payı Ölçer),3,0,0
125,NOVACADDE'DEN KOZYATAĞI SATILIK İSKANLI 2+1 DAİRE,Kozyatağı,4.500.000,60,75,2+1,2,1,2,20,Between 10-20,2,,Air Conditioner,0,300,0
126,OZZ TEAM' DEN FENERYOLUNDA SATILIK 3+1 DAİRE YENİ BİNA,Feneryolu,5.600.000,85,110,,,,,19,8,4,,Klima,4,120,0
127,"İSKANLI, BALKONLU, 3+1 SATILIK DAİRE (Yabancı Satışına Uygundur)",Bostancı,5.750.000,100,135,3+1,3,1,2,19,10-20 arası,1,,Klima,6-10 arası,500,0
128,"Rasımpaşa'da ozel mobilyalı, bakımlı 3+1 satılık daire",Rasimpaşa,3.550.000,130,140,3+1,3,1,1,25,4,4,,Kombi (Doğalgaz),31-35 arası,100,15.000
129,Çiftehavuzlar Bağdat Caddesi 1. Paralel Sokak Satılık,Göztepe,9.000.000,110,140,3+1,3,1,2,21,10-20 arası,4,İkinci El,Merkezi Sistem (Isı Payı Ölçer),1,0,0
130,"19 MAYIS mah. SIFIR KULANIŞLI 2+1, MANZARALI",19 Mayıs,6.300.000,100,105,2+1,2,1,2,26,9,7,,Klima,0,0,0
131,BOSTANCI VUKELA CADDESİNDE DİNAMİK'TEN 240m2 4+1 FULL YAPILI,Bostancı,5.390.000,210,240,4+1,4,1,3,31,8,1,,Klima,26-30 arası,0,0
132,Suadiye Bağdat Caddesi 2. Bina 4+1 Satılık Daire,Suadiye,9.950.000,140,160,4+1,4,1,2,26,7,5,İkinci El,Merkezi Sistem,26-30 arası,0,0
133,Sea and Çamlıca View in Acıbadem **TURKISH CITIZENSHIP,Hasanpaşa,7.950.000,53,72,1+1,1,1,1,23,10-20 arası,4,Yapım Aşamasında,Merkezi Sistem (Isı Payı Ölçer),0,0,0
134,SUADİYE AYŞEÇAVUŞ'DA SIFIR BİNA SATILIK 2+1 DAİRE,Suadiye,6.450.000,85,100,2+1,2,1,1,26,10,6,,Kombi (Doğalgaz),0,0,0
135,"ÖZEL MİMARİ DEKORLU, BALKONLU, İSKANLI 3+1 SATILIK FIRSAT DAİRE",19 Mayıs,4.080.000,100,120,3+1,3,1,2,26,9,7,,Merkezi Sistem,26-30 arası,350,0
136,CENTURY21.SAHRA'DAN C.BOSTAN SAHİLDE 5+2 DUBLEKS DENİZ MANZARALI,Caddebostan,24.500.000,290,390,,,,,29,10-20 arası,11,,Klima,0,0,0
137,CENTURY 21.SAHRA'DAN BAĞDAT'A ÇOK YAKIN 4+1 FULL YAPILI HAVUZLU,Suadiye,14.750.000,160,195,4+1,4,1,2,21,10,2,,Merkezi Sistem,26-30 arası,0,0
138,KOZYATAĞI KAYASULTAN SOKAK'TA 110m2 NET KULLANIMLI 3+1 5 YILLIK,Kozyatağı,7.650.000,110,136,3+1,3,1,3,31,10,7,,Klima,4,520,0
